row,col,.value,header_group_05,header_group_04,header_group_02,header_group_01
27,3,227,Vic.,Aboriginal and Torres Strait Islander,Females,Total
27,4,540,Qld.,Aboriginal and Torres Strait Islander,Females,Total
27,5,142,SA,Aboriginal and Torres Strait Islander,Females,Total
27,6,361,WA,Aboriginal and Torres Strait Islander,Females,Total
27,7,40,Tas.,Aboriginal and Torres Strait Islander,Females,Total
27,8,10,NT,Aboriginal and Torres Strait Islander,Females,Total
27,9,10,ACT,Aboriginal and Torres Strait Islander,Females,Total
27,10,1804,Aust.,Aboriginal and Torres Strait Islander,Females,Total
29,2,4975,NSW,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,3,3371,Vic.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,4,4037,Qld.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,5,1455,SA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,6,2813,WA,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,7,362,Tas.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,8,149,NT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,9,148,ACT,Aboriginal and Torres Strait Islander,Persons,Sentenced 
29,10,17312,Aust.,Aboriginal and Torres Strait Islander,Persons,Sentenced 
30,2,3735,NSW,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,3,1643,Vic.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,4,2566,Qld.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,5,1029,SA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,6,1483,WA,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,7,242,Tas.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,8,110,NT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,9,126,ACT,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
30,10,10936,Aust.,Aboriginal and Torres Strait Islander,Persons,Unsentenced 
31,2,8706,NSW,Aboriginal and Torres Strait Islander,Persons,Total
31,3,5015,Vic.,Aboriginal and Torres Strait Islander,Persons,Total
31,4,6637,Qld.,Aboriginal and Torres Strait Islander,Persons,Total
31,5,2494,SA,Aboriginal and Torres Strait Islander,Persons,Total
31,6,4303,WA,Aboriginal and Torres Strait Islander,Persons,Total
31,7,606,Tas.,Aboriginal and Torres Strait Islander,Persons,Total
31,8,261,NT,Aboriginal and Torres Strait Islander,Persons,Total
31,9,273,ACT,Aboriginal and Torres Strait Islander,Persons,Total
31,10,28294,Aust.,Aboriginal and Torres Strait Islander,Persons,Total
34,2,6842,NSW,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,3,3744,Vic.,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,4,6165,Qld.,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,5,1729,SA,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,6,4239,WA,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,7,434,Tas.,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,8,1202,NT,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,9,202,ACT,Aboriginal and Torres Strait Islander,Males,Sentenced 
34,10,24553,Aust.,Aboriginal and Torres Strait Islander,Males,Sentenced 
35,2,5246,NSW,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,3,1889,Vic.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,4,3609,Qld.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,5,1378,SA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,6,2765,WA,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,7,308,Tas.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,8,949,NT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,9,192,ACT,Aboriginal and Torres Strait Islander,Males,Unsentenced 
35,10,16329,Aust.,Aboriginal and Torres Strait Islander,Males,Unsentenced 
36,2,12092,NSW,Aboriginal and Torres Strait Islander,Males,Total
36,3,5631,Vic.,Aboriginal and Torres Strait Islander,Males,Total
36,4,9829,Qld.,Aboriginal and Torres Strait Islander,Males,Total
36,5,3104,SA,Aboriginal and Torres Strait Islander,Males,Total
36,6,7025,WA,Aboriginal and Torres Strait Islander,Males,Total
36,7,738,Tas.,Aboriginal and Torres Strait Islander,Males,Total
36,8,2156,NT,Aboriginal and Torres Strait Islander,Males,Total
36,9,398,ACT,Aboriginal and Torres Strait Islander,Males,Total
36,10,40967,Aust.,Aboriginal and Torres Strait Islander,Males,Total
38,2,392,NSW,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,3,169,Vic.,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,4,554,Qld.,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,5,101,SA,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,6,428,WA,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,7,34,Tas.,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,8,48,NT,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,9,11,ACT,Aboriginal and Torres Strait Islander,Females,Sentenced 
38,10,1727,Aust.,Aboriginal and Torres Strait Islander,Females,Sentenced 
39,2,466,NSW,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,3,111,Vic.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
39,4,496,Qld.,Aboriginal and Torres Strait Islander,Females,Unsentenced 
